identifier,grouping,county,keyhealthindicator,date,cases_rate
Nyeri_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nyeri,Measles-Rubella 1 doses Administered,03/01/2019,1271
Nyeri_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nyeri,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1046
Nyeri_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nyeri,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,17
Nyeri_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nyeri,Measles doses in stock at the beginning of the Month,03/01/2019,9689
Nyeri_Measles doses received within the Month_2019/March,2-Immunization,Nyeri,Measles doses received within the Month,03/01/2019,7340
Nyeri_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nyeri,Measles doses remaining  at the end Month,03/01/2019,9346
Nyeri_Measles_2019/March,3-Cases Reported,Nyeri,Measles,03/01/2019,4
Nyandarua_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nyandarua,Measles-Rubella 1 doses Administered,03/01/2019,1284
Nyandarua_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1094
Nyandarua_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,26
Nyandarua_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nyandarua,Measles doses in stock at the beginning of the Month,03/01/2019,4974
Nyandarua_Measles doses received within the Month_2019/March,2-Immunization,Nyandarua,Measles doses received within the Month,03/01/2019,6281
Nyandarua_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nyandarua,Measles doses remaining  at the end Month,03/01/2019,3992
Nyandarua_Measles_2019/March,3-Cases Reported,Nyandarua,Measles,03/01/2019,3
Nyamira_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nyamira,Measles-Rubella 1 doses Administered,03/01/2019,1581
Nyamira_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nyamira,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,750
Nyamira_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nyamira,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,67
Nyamira_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nyamira,Measles doses in stock at the beginning of the Month,03/01/2019,7851
Nyamira_Measles doses received within the Month_2019/March,2-Immunization,Nyamira,Measles doses received within the Month,03/01/2019,2810
Nyamira_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nyamira,Measles doses remaining  at the end Month,03/01/2019,4160
Nyamira_Measles_2019/March,3-Cases Reported,Nyamira,Measles,03/01/2019,0
Narok_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Narok,Measles-Rubella 1 doses Administered,03/01/2019,3451
Narok_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Narok,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1384
Narok_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Narok,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,142
Narok_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Narok,Measles doses in stock at the beginning of the Month,03/01/2019,11301
Narok_Measles doses received within the Month_2019/March,2-Immunization,Narok,Measles doses received within the Month,03/01/2019,9041
Narok_Measles doses remaining  at the end Month_2019/March,2-Immunization,Narok,Measles doses remaining  at the end Month,03/01/2019,11777
Narok_Measles_2019/March,3-Cases Reported,Narok,Measles,03/01/2019,7
Nandi_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nandi,Measles-Rubella 1 doses Administered,03/01/2019,1974
Nandi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nandi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1351
Nandi_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nandi,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,161
Nandi_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nandi,Measles doses in stock at the beginning of the Month,03/01/2019,11351
Nandi_Measles doses received within the Month_2019/March,2-Immunization,Nandi,Measles doses received within the Month,03/01/2019,8730
Nandi_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nandi,Measles doses remaining  at the end Month,03/01/2019,10104
Nandi_Measles_2019/March,3-Cases Reported,Nandi,Measles,03/01/2019,3
Nakuru_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nakuru,Measles-Rubella 1 doses Administered,03/01/2019,5481
Nakuru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nakuru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,2947
Nakuru_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nakuru,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,105
Nakuru_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nakuru,Measles doses in stock at the beginning of the Month,03/01/2019,17319
Nakuru_Measles doses received within the Month_2019/March,2-Immunization,Nakuru,Measles doses received within the Month,03/01/2019,19880
Nakuru_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nakuru,Measles doses remaining  at the end Month,03/01/2019,15794
Nakuru_Measles_2019/March,3-Cases Reported,Nakuru,Measles,03/01/2019,66
Nairobi_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Nairobi,Measles-Rubella 1 doses Administered,03/01/2019,12094
Nairobi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Nairobi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,6896
Nairobi_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Nairobi,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,472
Nairobi_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Nairobi,Measles doses in stock at the beginning of the Month,03/01/2019,31207
Nairobi_Measles doses received within the Month_2019/March,2-Immunization,Nairobi,Measles doses received within the Month,03/01/2019,33965
Nairobi_Measles doses remaining  at the end Month_2019/March,2-Immunization,Nairobi,Measles doses remaining  at the end Month,03/01/2019,28065
Nairobi_Measles_2019/March,3-Cases Reported,Nairobi,Measles,03/01/2019,108
Muranga_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Muranga,Measles-Rubella 1 doses Administered,03/01/2019,1873
Muranga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Muranga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1582
Muranga_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Muranga,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,18
Muranga_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Muranga,Measles doses in stock at the beginning of the Month,03/01/2019,10944
Muranga_Measles doses received within the Month_2019/March,2-Immunization,Muranga,Measles doses received within the Month,03/01/2019,11060
Muranga_Measles doses remaining  at the end Month_2019/March,2-Immunization,Muranga,Measles doses remaining  at the end Month,03/01/2019,11630
Muranga_Measles_2019/March,3-Cases Reported,Muranga,Measles,03/01/2019,25
Mombasa_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Mombasa,Measles-Rubella 1 doses Administered,03/01/2019,3547
Mombasa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Mombasa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1688
Mombasa_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Mombasa,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,16
Mombasa_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Mombasa,Measles doses in stock at the beginning of the Month,03/01/2019,11984
Mombasa_Measles doses received within the Month_2019/March,2-Immunization,Mombasa,Measles doses received within the Month,03/01/2019,10400
Mombasa_Measles doses remaining  at the end Month_2019/March,2-Immunization,Mombasa,Measles doses remaining  at the end Month,03/01/2019,13920
Mombasa_Measles_2019/March,3-Cases Reported,Mombasa,Measles,03/01/2019,26
Migori_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Migori,Measles-Rubella 1 doses Administered,03/01/2019,3407
Migori_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Migori,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1620
Migori_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Migori,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,287
Migori_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Migori,Measles doses in stock at the beginning of the Month,03/01/2019,9157
Migori_Measles doses received within the Month_2019/March,2-Immunization,Migori,Measles doses received within the Month,03/01/2019,8462
Migori_Measles doses remaining  at the end Month_2019/March,2-Immunization,Migori,Measles doses remaining  at the end Month,03/01/2019,7367
Migori_Measles_2019/March,3-Cases Reported,Migori,Measles,03/01/2019,22
Meru_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Meru,Measles-Rubella 1 doses Administered,03/01/2019,2845
Meru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Meru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1767
Meru_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Meru,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,237
Meru_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Meru,Measles doses in stock at the beginning of the Month,03/01/2019,14185
Meru_Measles doses received within the Month_2019/March,2-Immunization,Meru,Measles doses received within the Month,03/01/2019,10420
Meru_Measles doses remaining  at the end Month_2019/March,2-Immunization,Meru,Measles doses remaining  at the end Month,03/01/2019,11691
Meru_Measles_2019/March,3-Cases Reported,Meru,Measles,03/01/2019,1
Marsabit_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Marsabit,Measles-Rubella 1 doses Administered,03/01/2019,1215
Marsabit_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Marsabit,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,265
Marsabit_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Marsabit,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,16
Marsabit_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Marsabit,Measles doses in stock at the beginning of the Month,03/01/2019,2680
Marsabit_Measles doses received within the Month_2019/March,2-Immunization,Marsabit,Measles doses received within the Month,03/01/2019,1450
Marsabit_Measles doses remaining  at the end Month_2019/March,2-Immunization,Marsabit,Measles doses remaining  at the end Month,03/01/2019,3040
Marsabit_Measles_2019/March,3-Cases Reported,Marsabit,Measles,03/01/2019,0
Makueni_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Makueni,Measles-Rubella 1 doses Administered,03/01/2019,2011
Makueni_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Makueni,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1380
Makueni_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Makueni,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,75
Makueni_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Makueni,Measles doses in stock at the beginning of the Month,03/01/2019,13270
Makueni_Measles doses received within the Month_2019/March,2-Immunization,Makueni,Measles doses received within the Month,03/01/2019,7390
Makueni_Measles doses remaining  at the end Month_2019/March,2-Immunization,Makueni,Measles doses remaining  at the end Month,03/01/2019,9710
Makueni_Measles_2019/March,3-Cases Reported,Makueni,Measles,03/01/2019,23
Mandera_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Mandera,Measles-Rubella 1 doses Administered,03/01/2019,2013
Mandera_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Mandera,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,331
Mandera_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Mandera,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,100
Mandera_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Mandera,Measles doses in stock at the beginning of the Month,03/01/2019,5494
Mandera_Measles doses received within the Month_2019/March,2-Immunization,Mandera,Measles doses received within the Month,03/01/2019,1229
Mandera_Measles doses remaining  at the end Month_2019/March,2-Immunization,Mandera,Measles doses remaining  at the end Month,03/01/2019,2636
Mandera_Measles_2019/March,3-Cases Reported,Mandera,Measles,03/01/2019,4
Taita/Taveta_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Taita/Taveta,Measles-Rubella 1 doses Administered,03/01/2019,989
Taita/Taveta_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,581
Taita/Taveta_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,6
Taita/Taveta_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Taita/Taveta,Measles doses in stock at the beginning of the Month,03/01/2019,4367
Taita/Taveta_Measles doses received within the Month_2019/March,2-Immunization,Taita/Taveta,Measles doses received within the Month,03/01/2019,5130
Taita/Taveta_Measles doses remaining  at the end Month_2019/March,2-Immunization,Taita/Taveta,Measles doses remaining  at the end Month,03/01/2019,4970
Taita/Taveta_Measles_2019/March,3-Cases Reported,Taita/Taveta,Measles,03/01/2019,12
Tana River_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Tana River,Measles-Rubella 1 doses Administered,03/01/2019,1168
Tana River_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Tana River,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,487
Tana River_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Tana River,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,51
Tana River_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Tana River,Measles doses in stock at the beginning of the Month,03/01/2019,3772
Tana River_Measles doses received within the Month_2019/March,2-Immunization,Tana River,Measles doses received within the Month,03/01/2019,3210
Tana River_Measles doses remaining  at the end Month_2019/March,2-Immunization,Tana River,Measles doses remaining  at the end Month,03/01/2019,4410
Tana River_Measles_2019/March,3-Cases Reported,Tana River,Measles,03/01/2019,14
Tharaka-Nithi_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Tharaka-Nithi,Measles-Rubella 1 doses Administered,03/01/2019,827
Tharaka-Nithi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,560
Tharaka-Nithi_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,29
Tharaka-Nithi_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Tharaka-Nithi,Measles doses in stock at the beginning of the Month,03/01/2019,3820
Tharaka-Nithi_Measles doses received within the Month_2019/March,2-Immunization,Tharaka-Nithi,Measles doses received within the Month,03/01/2019,3510
Tharaka-Nithi_Measles doses remaining  at the end Month_2019/March,2-Immunization,Tharaka-Nithi,Measles doses remaining  at the end Month,03/01/2019,3550
Tharaka-Nithi_Measles_2019/March,3-Cases Reported,Tharaka-Nithi,Measles,03/01/2019,4
Trans Nzoia_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Trans Nzoia,Measles-Rubella 1 doses Administered,03/01/2019,2791
Trans Nzoia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1257
Trans Nzoia_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,120
Trans Nzoia_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Trans Nzoia,Measles doses in stock at the beginning of the Month,03/01/2019,12027
Trans Nzoia_Measles doses received within the Month_2019/March,2-Immunization,Trans Nzoia,Measles doses received within the Month,03/01/2019,8950
Trans Nzoia_Measles doses remaining  at the end Month_2019/March,2-Immunization,Trans Nzoia,Measles doses remaining  at the end Month,03/01/2019,11973
